Site_ID,Site_Name,Ftr_ID,Ftr_Name,Dep_Type_1,Dep_Type_2,Commodity,Ore_Min,Gangue_Min,Remarks,Prim_Cit,Sec_Cit,Last_Updt
AZ000001,Copper Cities,,,Calc-alkaline porphyry copper,Supergene,copper (1); gold (1); molybdenum (1); silver (1),azurite; chalcocite; chalcopyrite; covellite; gold; malachite; molybdenite; silver; turquoise,apatite; biotite; calcite; chlorite; clinozoisite; epidote; galena; magnetite; montmorillonite; oligoclase; orthoclase; plagioclase; pyrite; quartz; sericite; sphalerite; titanite; zircon,,Simmons and Fowells (1966),(1) Briggs (2022),2025-06-26
AZ000002,Miami-Inspiration,,,Calc-alkaline porphyry copper,Exotic; Supergene,copper; gold; lead; molybdenum; silver,atacamite; azurite; bornite; brochantite; chalcocite; chalcopyrite; chrysocolla; covellite; cuprite; galena; gold; libethenite; lindgrenite; malachite; molybdenite; silver,andalusite (1); calcite (2); chlorite (1); epidote (2); goethite; hematite; jarosite; magnetite (2); muscovite; orthoclase (1); plagioclase (1); pyrite; quartz; sericite,,Briggs (2022),(1) Swaim (2020); (2) Swaim and others (2019),2025-08-06
AZ000003,Twin Buttes,,,Calc-alkaline porphyry copper,Magmatic hydrothermal breccia pipe; Skarn; Supergene,copper; molybdenum (1); uranium (1),azurite; bornite; brochantite; chalcocite; chalcopyrite; chrysocolla; copper; covellite; cuprite; ferrimolybdite; malachite; molybdenite; powellite; tenorite; tetrahedrite; wulfenite,actinolite; andradite; anhydrite; biotite; calcite; chlorite; diopside; epidote; fluorite; forsterite; galena; goethite; grossular; gypsum; hedenbergite; hematite; limonite; magnetite; matildite; montmorillonite; nontronite; phlogopite; plagioclase; potassium feldspar; pyrite; pyrolusite; pyrrhotite; quartz; scheelite; sericite; serpentine; sphalerite; tremolite; vesuvianite; wollastonite,"Uranium ore minerals not reported, but was recovered from leach solutions",Barter and Kelly (1982),(1) Arizona Geological Survey (2015),2025-08-06
AZ000004,Tohono,,,Calc-alkaline porphyry copper,Skarn; Supergene,copper (1),atacamite; brochantite; chalcocite; chalcopyrite; chrysocolla; copper; cuprite; tenorite,andesine; anhydrite; biotite; calcite; chlorite; clinochlore; garnet; goethite; gypsum; halloysite; hematite; kaolinite; leucoxene; magnetite; manganese oxides; molybdenite; plagioclase; potassium feldspar; pyrite; quartz; rutile; sericite; smectite; tremolite,Deposit known as the Lakeshore deposit,Cook (1988),"(1) Clear Creek Associates, L.L.C. (2018)",2025-06-20
AZ000005,Sierrita-Esperanza,,,Calc-alkaline porphyry copper,Magmatic hydrothermal breccia pipe (1); Magmatic hydrothermal replacement; Supergene (2),copper; molybdenum; rhenium (1),antlerite (1); azurite (1); bornite (1); brochantite (1); chalcocite (1); chalcopyrite; chrysocolla (1); copper (1); cubanite (1); cuprite (1); digenite (1); ferrimolybdite (1); ilsemannite (1); libethenite (1); malachite (1); molybdenite; tennantite (1); tenorite (1); tetrahedrite (1); torbernite (1),akaganeite (1); albite (1); anhydrite (1); biotite; calcite (1); chlorite; epidote; galena (1); goethite (1); gypsum (1); hematite (1); hornblende (1); jarosite (1); limonite (1); magnetite (1); marcasite (1); montmorillonite (1); orthoclase; plagioclase (1); pyrite; pyrrhotite (1); quartz; sericite; sphalerite (1); tourmaline (1),,Titley and others (1986),(1) West and Aiken (1982); (2) Sawyer and others (1993),2025-06-26
AZ000006,San Manuel,,,Calc-alkaline porphyry copper,Supergene,copper (1); gold (1); molybdenum (1); silver (1),atacamite (2); azurite; bornite; chalcocite; chalcopyrite; chrysocolla; copper; covellite; cuprite; malachite; molybdenite; plancheite (2); silver (2); tenorite,adularia; allophane; alunite; barite; biotite; calcite; chlorite; clinozoisite; dickite; epidote; fluorite; goethite; halloysite; hematite; hydrohalloysite; illite; ilmenite; jarosite; kaolinite; leucoxene; magnetite; mica; microcline; montmorillonite; muscovite; orthoclase; plagioclase; psilomelane; pyrite; pyroxene; quartz; rutile; sericite; sphalerite; zircon; zunyite,Deposit also known as San Manuel-Kalamazoo,Schwartz (1953),(1) U.S. Environmental Protection Agency (1994); (2) Thomas (1966),2025-06-26
AZ000007,Resolution Copper,,,Calc-alkaline porphyry copper,Magmatic hydrothermal replacement; Vein,copper; gold; lead; manganese; silver; zinc,azurite (1); bornite; chalcocite (1); chalcopyrite; chlorargyrite (2); chrysocolla (1); colusite (1); copper (1); coronadite (1); covellite (1); cryptomelane (1); digenite (1); dioptase (1); djurleite (1); enargite (1); famatinite (1); galena (1); groutite (1); malachite (1); olivenite (1); pyrolusite (1); rhodochrosite (1); silver (1); sphalerite (1); tennantite (1); tetrahedrite (1); wulfenite (1),barite (1); calcite; gypsum (1); hematite; limonite (2); pyrite; quartz; sericite; voltaite (1),,Briggs (2015b),(1) Presmyk (2020); (2) Short and others (1943),2025-06-20
AZ000008,Morenci,,,Calc-alkaline porphyry copper,Skarn; Supergene,copper; molybdenum,azurite; brochantite; chalcocite; chalcopyrite; chrysocolla; copper; covellite; cuprite; malachite; molybdenite; tenorite,actinolite; biotite; chlorite; diopside; epidote; garnet; magnetite; neotocite; orthoclase; pyrite; quartz; sericite; tremolite; wollastonite,,Young and others (2023),,2025-06-26
AZ000009,United Verde,,,Volcanogenic massive sulfide (VMS),Supergene,copper; gold; lead; silver; zinc,azurite; bornite; chalcocite; chalcopyrite; copper; copper hydroxides; cuprite; electrum; galena; hydrous copper sulfates; malachite; silver; sphalerite; tennantite,ankerite; arsenopyrite; calcite; chlorite; dolomite; hornblende; iron oxides; kaolinite; pyrite; quartz; sericite; siderite,,Briggs (2018),,2025-06-26
AZ000010,Christmas,,,Calc-alkaline porphyry copper,Magmatic hydrothermal replacement; Skarn,copper; gold; silver,azurite (1); bornite; brochantite (1); chalcanthite (1); chalcocite; chalcopyrite; copper; covellite; cuprite; dioptase (1); malachite (1),actinolite (1); albite (1); anhydrite; biotite (1); brucite (1); chlorite; clay; diopside; epidote; forsterite (1); galena; garnet; hematite; magnetite; mica; molybdenite; pyrite; pyrrhotite (1); quartz; sphalerite; talc (1); tremolite; vesuvianite (1); wollastonite,Gold and silver ore minerals not reported,Peterson and Swanson (1956),(1) Briggs (2021),2025-06-26
