Site_ID,Site_Name,Ftr_ID,Ftr_Name,Rep_Vol,Rep_V_Ut,Calc_Vol,Calc_V_Ut,DEM_Date,Ton_Factor,Ton_F_Ut,Material,Mat_Type,Mat_Amnt,Mat_Units,Grade,Grade_Units,Contained,ContUnits,Rep_Vol_SI,Rep_Vut_SI,Ton_F_SI,Ton_F_SI_U,MatAmntSI,MatUnitSI,GradeSI,GradeUntSI,CntSIComAm,CntSIComUt,CntSIComod,Rsrc_Class,Rsrc_Code,Rsrc_Date,RsrcMethod,Remarks,Prim_Cit,Sec_Cit,Last_Updt
AZ000001,Copper Cities,AZ000001-001,No. 2 Tailings (1),34000000.000000000000000,cubic meters,28908555,cubic meters,2024,,,,Tailings - pond,,,,,,,34000000.000000000000000,cubic meters,,,,,,,,,,,,,,Tailings thickness is up to 85 meters,BHP Group Ltd. (2024),,2026-01-12
AZ000001,Copper Cities,AZ000001-002,,,,43146568,cubic meters,2024,,,,Leach pile - heap,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
AZ000001,Copper Cities,AZ000001-003,No. 8 Tailings (1),7500000.000000000000000,cubic meters,9245409,cubic meters,2024,,,,Tailings - pond,,,,,,,7500000.000000000000000,cubic meters,,,,,,,,,,,,,,Tailings thickness is up to 65 meters,BHP Group Ltd. (2024),,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-001,No. 2 Tailings Impoundment,400000.000000000000000,cubic meters,25089774,cubic meters,2024,,,,Tailings - pond,,,,,,,400000.000000000000000,cubic meters,,,,,,,,,,,,,,,BHP Group Ltd. (2019),,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-002,Tailing Dam No. 5 (1),28290000.000000000000000,cubic meters,30865504,cubic meters,2024,,,,Tailings - pond,45000000.000000000000000,metric tons,,,,,28290000.000000000000000,cubic meters,1.611100000000000,metric tons per cubic meter,45000000.000000000000000,metric tons,,,,,,,,,,Ton_F_SI calculated from Mat_Amnt and Rep_Vol fields,"Freeport-McMoRan, Inc. (2021)","Freeport-McMoRan, Inc. (2024a)",2026-01-12
AZ000002,Miami-Inspiration,AZ000002-003,Tailing Dam No. 2 (1),7580000.000000000000000,cubic meters,3153748,cubic meters,2024,,,,Tailings - pond,12000000.000000000000000,metric tons,,,,,7580000.000000000000000,cubic meters,1.611100000000000,metric tons per cubic meter,12000000.000000000000000,metric tons,,,,,,,,,,Ton_F_SI calculated from Mat_Amnt and Rep_Vol fields,"Freeport-McMoRan, Inc. (2021)","Freeport-McMoRan, Inc. (2024a)",2026-01-12
AZ000002,Miami-Inspiration,AZ000002-004,Tailing Dam No. 4 (1),36210000.000000000000000,cubic meters,32894934,cubic meters,2024,,,,Tailings - pond,58000000.000000000000000,metric tons,,,,,36210000.000000000000000,cubic meters,1.611100000000000,metric tons per cubic meter,58000000.000000000000000,metric tons,,,,,,,,,,Ton_F_SI calculated from Mat_Amnt and Rep_Vol fields,"Freeport-McMoRan, Inc. (2021)","Freeport-McMoRan, Inc. (2024a)",2026-01-12
AZ000002,Miami-Inspiration,AZ000002-005,Tailing Dam No. 3 (1),17830000.000000000000000,cubic meters,14533850,cubic meters,2024,,,,Tailings - pond,28000000.000000000000000,metric tons,,,,,17830000.000000000000000,cubic meters,1.611100000000000,metric tons per cubic meter,28000000.000000000000000,metric tons,,,,,,,,,,Ton_F_SI calculated from Mat_Amnt and Rep_Vol fields,"Freeport-McMoRan, Inc. (2021)","Freeport-McMoRan, Inc. (2024a)",2026-01-12
AZ000002,Miami-Inspiration,AZ000002-006,Solitude Tailings Storage Facility (1),58700000.000000000000000,cubic meters,61001211,cubic meters,2024,,,,Tailings - pond,,,,,,,58700000.000000000000000,cubic meters,,,,,,,,,,,,,,,BHP Group Ltd. (2019),,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-007,Tailings Pond No. 1 (1),,,2300843,cubic meters,2024,,,,Tailings - pond,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-008,Leach Plant Tails,,,24996868,cubic meters,2024,,,,Tailings - pond,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-009,"9, 34, 35 Leach (1)",,,118492540,cubic meters,2024,,,,Leach pile - heap,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-010,40 Leach (1),,,22843946,cubic meters,2024,,,,Leach pile - heap,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-011,27 and 28 Leach (1),,,119965297,cubic meters,2024,,,,Leach pile - heap,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-012,31 Overburden Stockpile,,,23337931,cubic meters,2024,,,,Overburden pile,28000000.000000000000000,short tons,,,,,,,,,25000000.111000001430511,metric tons,,,,,,,,,,Mat_Units reported as tons,Briggs (2022),,2026-01-12
AZ000002,Miami-Inspiration,AZ000002-013,94/95 Overburden Stockpile,,,84824213,cubic meters,2024,,,,Overburden pile,68000000.000000000000000,short tons,,,,,,,,,62000000.111000001430511,metric tons,,,,,,,,,,Mat_Units reported as tons,Briggs (2022),,2026-01-12
AZ000003,Twin Buttes,AZ000003-001,No. 2 Dam,50000000.000000000000000,cubic meters,76235604,cubic meters,2024,,,,Tailings - pond,103000000.000000000000000,metric tons,,,,,50000000.000000000000000,cubic meters,2.111100000000000,metric tons per cubic meter,103000000.000000000000000,metric tons,,,,,,,,,,Ton_F_SI calculated from Mat_Amnt and Rep_Vol fields,"Freeport-McMoRan, Inc. (2021)","Freeport-McMoRan, Inc. (2024a)",2026-01-12
AZ000003,Twin Buttes,AZ000003-002,No. 3 Dam,36000000.000000000000000,cubic meters,159204488,cubic meters,2024,,,,Tailings - pond,70000000.000000000000000,metric tons,,,,,36000000.000000000000000,cubic meters,1.911100000000000,metric tons per cubic meter,70000000.000000000000000,metric tons,,,,,,,,,,Ton_F_SI calculated from Mat_Amnt and Rep_Vol fields,"Freeport-McMoRan, Inc. (2021)","Freeport-McMoRan, Inc. (2024a)",2026-01-12
AZ000003,Twin Buttes,AZ000003-003,No. 4 Dump,,,18777189,cubic meters,2024,,,,Mine dump,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12
